tip	date	distance	residual
BDI0005|cow|BDI|2022-05-19	2022.3780821917808	0.05003113113750262	0.004434088768074433
P302|cow|RWA|2022-06-04	2022.4219178082192	0.049731410637502624	0.004118056119885902
P90|cow|RWA|2022-07-09	2022.517808219178	0.049731410637502624	0.004082373295723571
P103|cow|RWA|2022-08-08	2022.6	0.05033913563750263	0.0046595130178701955
P102|cow|RWA|2022-08-05	2022.5917808219178	0.05033913563750263	0.004662571545655456
P40|cow|RWA|2022-07-03	2022.5013698630137	0.05033813593750263	0.004695215651294209
P85|cow|RWA|2022-06-28	2022.4876712328767	0.050038181437502625	0.004400358697603156
P100|cow|RWA|2022-07-31	2022.5780821917808	0.049728411537502626	0.004056944991964406
BDI0007|cow|BDI|2022-05-19	2022.3780821917808	0.04972741183750263	0.004130369468074442
BDI0009|cow|BDI|2022-05-18	2022.3753424657534	0.04972341303750263	0.00412739017733612
BDI0002|cow|BDI|2022-05-17	2022.372602739726	0.04973041093750263	0.00413540758659791
P45|cow|RWA|2022-06-17	2022.4575342465753	0.05089254913750262	0.005265940999482736
P99|cow|RWA|2022-07-29	2022.572602739726	0.05003919053750263	0.00436976301048788
P7|cow|RWA|2022-06-09	2022.4356164383562	0.04972941123750262	0.004110959173576949
P104|cow|RWA|2022-08-08	2022.6	0.050331965537502625	0.004652342917870193
P86|cow|RWA|2022-06-28	2022.4876712328767	0.050024219337502625	0.004386396597603155
P69|cow|RWA|2022-06-13	2022.4465753424658	0.050033253937502624	0.004410723836529788
P319|cow|RWA|2022-08-25	2022.6465753424657	0.04972541243750262	0.0040284581604198635
P2|cow|RWA|2022-06-07	2022.4301369863015	0.049724412737502624	0.004107999692100531
P73|sheep|RWA|2022-07-03	2022.5013698630137	0.050023765737502626	0.004380845451294205
P110|cow|RWA|2022-09-12	2022.695890410959	0.050022258437502624	0.004306952993707751
P55|cow|RWA|2022-06-12	2022.4438356164383	0.04972041393750263	0.004098903345791695
DQ380187|mosquito|BFA|1983-01-01	1983.0	0.028780311037502632	-0.002163324712353181
MG659818|human|SEN|1975-01-01	1975.0	0.02732631543750263	-6.403532679537562E-4
DQ380183|human|MRT|1987-01-01	1987.0	0.030039874137502632	-0.002392245134552839
DQ380184|human|MRT|1987-01-01	1987.0	0.029762174737502634	-0.0026699445345528365
DQ380185|human|MRT|1987-01-01	1987.0	0.030604797537502632	-0.0018273217345528385
DQ380186|human|MRT|1987-01-01	1987.0	0.031169454337502633	-0.001262664934552838
MG659812|cow|KEN|1962-01-01	1962.0	0.01568860613750263	-0.007440491120804842
DQ380191|human|UGA|1944-01-01	1944.0	0.016244783237502634	-1.8613817090632617E-4
DQ380194|cow|ZWE|1974-01-01	1974.0	0.021959133437502634	-0.005635414387403923
DQ380190|cow|KEN|1965-01-01	1965.0	0.023102123262497366	-0.0011433366374599338
KY126712|mosquito|ZAF|1971-01-01	1971.0	0.02912869336249737	0.002650508179240639
JF784387|sheep|ZAF|1974-01-01	1974.0	0.029697308062497367	0.0021027602375908103
DQ380189|human|ZAF|1975-01-01	1975.0	0.02997816146249737	0.002011492757040982
DQ380188|cow|ZWE|1970-01-01	1970.0	0.028306196062497367	0.0022001317597905787
OQ440143|mosquito|UGA|1955-07-09	1955.517808219178	0.012895389662497368	-0.007821548682437231
MG659733|mosquito|ZAF|1955-01-01	1955.0	0.009176913837502633	-0.011347337256955468
DQ380222|cow|ZWE|1974-01-01	1974.0	0.029647518737502633	0.0020529709125960763
KY126711|mosquito|ZAF|1956-01-01	1956.0	0.023938597037502635	0.003042225062494592
KY126710|mosquito|ZAF|1955-01-01	1955.0	0.02248057653750263	0.00195632544304453
DQ380195|sheep|ZAF|1951-01-01	1951.0	0.021409647537502633	0.002373879965244189
DQ380219|human|CAF|1985-01-01	1985.0	0.032309052937502636	6.211754265470493E-4
DQ380218|human|CAF|1985-01-01	1985.0	0.03346367763750263	0.0017758001265470447
DQ380220|cow|ZWE|1978-01-01	1978.0	0.028370867337502634	-7.121640096035796E-4
DQ380217|human|CAF|1969-01-01	1969.0	0.028309381437502636	0.002575438015345679
DQ380216|bat|GIN|1984-01-01	1984.0	0.029436667537502636	-0.0018790890929030087
DQ380215|bat|GIN|1981-01-01	1981.0	0.028592874837502637	-0.0016065191512532918
DQ380211|human|CAF|1973-01-01	1973.0	0.031492219637502636	0.004269792693146021
DQ380214|cow|ZWE|1978-01-01	1978.0	0.03325055083750263	0.004167519490396419
DQ380221|human|CAF|1973-01-01	1973.0	0.026203972437502634	-0.001018454506853981
KY126713|mosquito|ZAF|1981-01-01	1981.0	0.03177365513750264	0.0015742611487467098
DQ380204|mosquito|EGY|1978-01-01	1978.0	0.033408637937502636	0.004325606590396422
DQ380203|human|EGY|1978-01-01	1978.0	0.033126413137502635	0.004043381790396421
DQ380205|sheep|EGY|1979-01-01	1979.0	0.033407343837502636	0.003952191609846591
DQ380201|mosquito|EGY|1977-01-01	1977.0	0.03313083183750263	0.004419921370946357
DQ380200|human|EGY|1977-01-01	1977.0	0.03313083183750263	0.004419921370946357
DQ380199|mosquito|EGY|1977-01-01	1977.0	0.03340896293750263	0.0046980524709463595
DQ380207|cow|EGY|1978-01-01	1978.0	0.03426253363750263	0.005179502290396418
NC_014396|human|EGY|1977-01-01	1977.0	0.03284666473750263	0.004135754270946361
DQ380210|cow|MDG|1979-01-01	1979.0	0.03597780973750263	0.006522657509846583
DQ380209|cow|ZWE|1974-01-01	1974.0	0.03255626583750264	0.004961718012596081
MG659813|sheep|KEN|1972-01-01	1972.0	0.028833735837502632	0.00198342977369596
MT561460|sheep|NAM|2010-07-30	2010.5753424657535	0.035377462237502634	-0.005827534232174823
MG659755|human|ZAF|2010-01-01	2010.0	0.03509537613750263	-0.005895523387200841
MG659789|human|ZAF|2010-01-01	2010.0	0.03481524473750263	-0.006175654787200842
MG659811|human|NAM|2011-01-01	2011.0	0.03593693063750263	-0.005426089767750782
MG659808|human|ZAF|2011-01-01	2011.0	0.03593994773750263	-0.005423072667750786
MG659807|human|ZAF|2011-01-01	2011.0	0.035939927037502636	-0.005423093367750778
MG659804|human|ZAF|2011-01-01	2011.0	0.03593992073750263	-0.005423099667750786
MG659806|human|ZAF|2011-01-01	2011.0	0.03593997033750263	-0.005423050067750783
MG659805|human|ZAF|2011-01-01	2011.0	0.03565912283750263	-0.005703897567750783
MG659810|human|ZAF|2011-01-01	2011.0	0.03621760863750263	-0.005145411767750782
MG659786|human|ZAF|2010-01-01	2010.0	0.03509717043750263	-0.005893729087200844
MG659734|human|ZAF|2010-01-01	2010.0	0.035097131337502634	-0.005893768187200839
MG659738|human|ZAF|2010-01-01	2010.0	0.035096566937502634	-0.005894332587200839
MG659782|human|ZAF|2010-01-01	2010.0	0.03481627673750263	-0.006174622787200844
MG659774|human|ZAF|2010-01-01	2010.0	0.03481627673750263	-0.006174622787200844
KY126694|human|ZAF|2010-01-01	2010.0	0.03481527703750263	-0.006175622487200841
KY126699|human|ZAF|2010-01-01	2010.0	0.03565733193750263	-0.005333567587200841
MG659748|human|ZAF|2010-01-01	2010.0	0.03537594303750263	-0.0056149564872008395
MG659785|human|ZAF|2010-01-01	2010.0	0.03509282423750263	-0.005898075287200842
MG659742|human|ZAF|2010-01-01	2010.0	0.03481365033750263	-0.006177249187200841
MG659787|human|ZAF|2010-01-01	2010.0	0.03509846423750263	-0.005892435287200841
MG659783|human|ZAF|2010-01-01	2010.0	0.03509846473750263	-0.005892434787200841
MG659776|human|ZAF|2010-01-01	2010.0	0.03537999003750263	-0.005610909487200839
KY126698|human|ZAF|2010-01-01	2010.0	0.03594314513750263	-0.005047754387200842
MG659744|human|ZAF|2010-01-01	2010.0	0.03537864223750263	-0.005612257287200842
MG659735|human|ZAF|2010-01-01	2010.0	0.03481728263750263	-0.00617361688720084
